Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Phoenix Suns,82,110.2,40.7,82.8,49.2,8.9,21.6,41.2,19.9,25.8,77.0,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9
Golden State Warriors,82,108.8,40.6,86.5,46.9,7.7,20.6,37.5,19.9,25.4,78.2,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0
Denver Nuggets,82,106.5,38.1,81.4,46.8,6.6,18.5,35.9,23.6,30.6,77.2,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5
Utah Jazz,82,104.2,39.4,80.2,49.1,5.4,14.7,36.4,20.2,27.2,74.1,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7
Toronto Raptors,82,104.1,39.0,80.9,48.2,6.3,17.0,37.1,19.7,25.8,76.4,9.8,30.6,40.4,22.0,5.7,4.7,13.4,22.2
Orlando Magic,82,102.8,36.6,78.0,47.0,10.3,27.3,37.5,19.2,26.5,72.4,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9
Memphis Grizzlies,82,102.5,39.3,83.8,46.9,4.2,12.4,33.7,19.7,26.9,73.3,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2
Houston Rockets,82,102.4,37.7,84.4,44.7,7.9,22.4,35.1,19.0,24.7,77.2,11.8,30.1,42.0,21.8,7.1,3.9,14.5,20.9
Cleveland Cavaliers,82,102.1,37.8,77.9,48.5,7.3,19.3,38.1,19.1,26.6,72.0,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4
New York Knicks,82,102.1,38.1,83.9,45.5,9.1,26.2,34.6,16.8,21.5,78.2,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0
Dallas Mavericks,82,102.0,38.3,82.4,46.5,6.8,18.3,37.3,18.6,22.8,81.6,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1
Los Angeles Lakers,82,101.7,38.3,83.8,45.7,6.5,19.0,34.1,18.5,24.2,76.5,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4
Atlanta Hawks,82,101.7,38.8,82.9,46.8,6.4,17.7,36.0,17.7,23.3,75.9,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9
Oklahoma City Thunder,82,101.5,37.4,80.8,46.2,5.1,15.0,34.0,21.7,27.0,80.5,11.7,31.8,43.5,20.0,8.0,5.9,15.0,21.3
San Antonio Spurs,82,101.4,38.4,81.2,47.3,6.8,18.9,35.8,17.8,24.0,74.0,10.8,32.0,42.8,22.3,6.3,4.6,13.6,20.4
Indiana Pacers,82,100.8,36.8,83.2,44.3,8.0,23.1,34.8,19.1,24.6,77.5,9.6,31.9,41.5,21.1,7.1,5.4,15.0,22.5
New Orleans Hornets,82,100.2,38.8,83.4,46.4,7.0,19.2,36.3,15.8,20.3,77.8,10.4,29.9,40.3,22.3,7.6,3.7,13.5,19.6
Sacramento Kings,82,100.0,38.3,84.1,45.6,5.9,16.9,34.9,17.4,24.0,72.6,11.9,30.7,42.6,20.5,6.9,4.5,15.0,22.3
Boston Celtics,82,99.2,37.1,76.8,48.3,6.1,17.5,34.8,19.0,25.5,74.6,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1
Minnesota Timberwolves,82,98.2,37.9,84.4,44.9,4.9,14.4,34.1,17.5,23.5,74.6,11.7,31.2,42.9,19.8,7.3,3.7,16.3,20.7
Portland Trail Blazers,82,98.1,36.3,78.7,46.1,6.0,16.9,35.4,19.6,24.8,79.0,11.1,29.1,40.2,20.4,6.4,4.3,12.3,20.9
Philadelphia 76ers,82,97.7,37.6,81.8,46.0,5.8,16.8,34.3,16.7,22.0,75.6,11.5,29.5,41.0,21.0,8.1,5.4,14.5,20.5
Milwaukee Bucks,82,97.7,37.2,85.3,43.6,7.9,22.1,35.6,15.4,20.4,75.5,11.8,31.2,43.0,21.2,7.1,4.7,13.2,22.2
Chicago Bulls,82,97.5,37.6,83.2,45.1,4.3,13.0,33.0,18.0,23.9,75.4,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1
Miami Heat,82,96.5,36.4,79.5,45.8,6.0,17.4,34.6,17.7,23.5,75.2,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9
Washington Wizards,82,96.2,36.7,81.7,44.9,5.3,14.9,35.3,17.6,23.1,76.2,11.8,30.0,41.8,19.0,6.0,5.1,14.9,21.4
LA Clippers,82,95.7,36.6,80.5,45.5,5.9,17.8,33.2,16.6,22.8,73.0,11.3,30.5,41.8,22.1,6.5,5.7,15.7,19.3
Charlotte Bobcats,82,95.3,34.9,76.9,45.3,5.6,16.2,34.6,20.0,26.6,75.1,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5
Detroit Pistons,82,94.0,35.9,80.5,44.5,4.6,14.5,31.4,17.7,24.4,72.8,12.8,27.3,40.2,19.4,7.3,3.8,13.4,22.2
New Jersey Nets,82,92.4,34.3,79.9,42.9,4.6,14.5,31.8,19.2,24.6,78.0,10.9,28.8,39.7,18.8,7.0,4.8,14.4,20.0
